id,name,tier,status,last_run_at,notes
indexnow,IndexNow (Bing/Yandex),instant,skipped,2026-06-07T03:24:10.692842+00:00,"{""action"": ""indexnow"", ""skipped"": true, ""reason"": ""Set INDEXNOW_KEY in legal-research-backend/.env""}"
bing_ping,Bing Sitemap Ping,instant,done,2026-06-07T03:24:10.706492+00:00,"{""action"": ""bing_ping"", ""status_code"": 410}"
pingomatic,Pingomatic RPC,instant,done,2026-06-07T03:24:10.708991+00:00,"{""action"": ""pingomatic"", ""status_code"": 200, ""snippet"": ""<?xml version=\""1.0\""?>\n<methodResponse>\n"
wayback,Internet Archive (Wayback Save),instant,done,2026-06-07T03:24:10.708991+00:00,"{""action"": ""wayback"", ""saved"": 1, ""total"": 8, ""results"": [{""url"": ""https://owl-ai-agency.com/"", ""err"
cloudflare_purge,Cloudflare Cache Purge,env_credentials,done,2026-06-07T03:24:10.725139+00:00,"{""action"": ""cloudflare_purge"", ""success"": true, ""response"": {""success"": true, ""errors"": [], ""message"
llms_refresh,Regenerate llms.txt,instant,done,2026-06-07T03:24:10.692842+00:00,"{""action"": ""llms_refresh"", ""path"": ""C:\\Users\\hobie\\.cursor\\projects\\C-Users-hobie-AppData-Local"
cross_link_syndication,On-site syndication hub,instant,pending,,
tip_technolawyer,TechnoLawyer Tip,email_no_account,error,2026-06-07T03:25:42.473903+00:00,"(550, b'5.4.6 Unusual sending activity detected. Please try after sometime. <a href=https://www.zoho.com/mail/help/usage-policy.html target=_blank>Learn more.</a>')"
tip_lawyerist,Lawyerist News Tip,email_no_account,error,2026-06-07T03:25:42.487328+00:00,"(550, b'5.4.6 Unusual sending activity detected. Please try after sometime. <a href=https://www.zoho.com/mail/help/usage-policy.html target=_blank>Learn more.</a>')"
product_hunt,Product Hunt Launch,draft_only,draft_ready,2026-06-07T03:25:42.507215+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
hacker_news,Hacker News Show HN,draft_only,draft_ready,2026-06-07T03:25:42.507215+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
quora_citations,Quora — AI citations answer,draft_only,draft_ready,2026-06-07T03:25:42.523892+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
quora_cost,Quora — legal research cost answer,draft_only,draft_ready,2026-06-07T03:25:42.523892+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
indie_hackers,Indie Hackers Build Thread,draft_only,draft_ready,2026-06-07T03:25:42.540506+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
devto,Dev.to Article,draft_only,draft_ready,2026-06-07T03:25:42.547712+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
alternativeto,AlternativeTo Listing,manual_account,draft_ready,2026-06-07T03:25:42.556764+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
saashub,SaaSHub Listing,manual_account,draft_ready,2026-06-07T03:25:42.564665+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
betalist,BetaList Submit,manual_account,draft_ready,2026-06-07T03:25:42.573892+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
haro,HARO / Connectively,manual_account,draft_ready,2026-06-07T03:25:42.573892+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
qwoted,Qwoted Expert,manual_account,draft_ready,2026-06-07T03:25:42.590617+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
medium,Medium Publication,manual_account,draft_ready,2026-06-07T03:25:42.590617+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
legal_hackers,Legal Hackers Slack,manual_account,draft_ready,2026-06-07T03:25:42.607230+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
google_business,Google Business Profile Posts,manual_account,draft_ready,2026-06-07T03:25:42.614500+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
youtube_demo,YouTube Demo Upload,manual_account,draft_ready,2026-06-07T03:25:42.623364+00:00,C:\Users\hobie\.cursor\projects\C-Users-hobie-AppData-Local-Temp-1312506d-7a59-4dea-b34d-e885dacd8ae9\OWL_Agency_Website\seo\traffic_agent\drafts
